C-SDB_TIT-0,C-W96-0,C-SDB_BBTR-0,F-ANK,F-UEB
198406,W96-9,81,5394,15737
198406,W96-9,60,101,290
198407,W96-9,1,122537,307100
198407,W96-9,2,59124,152132
198407,W96-9,3,37819,109985
198407,W96-9,70,26638,72992
198407,W96-9,81,4978,11690
198407,W96-9,60,156,464
198408,W96-9,1,137778,357010
198408,W96-9,2,66098,168277
198408,W96-9,3,44684,124150
198408,W96-9,70,33725,92181
198408,W96-9,81,7296,15616
198408,W96-9,60,158,581
198409,W96-9,1,134673,351810
198409,W96-9,2,63883,171071
198409,W96-9,3,36349,103085
198409,W96-9,70,6122,19044
198409,W96-9,81,4923,14400
198409,W96-9,60,89,387
198410,W96-9,1,104253,279175
198410,W96-9,2,42138,114504
198410,W96-9,3,25152,72668
198410,W96-9,70,1759,4688
198410,W96-9,81,4626,14585
198410,W96-9,60,84,430
198411,W96-9,1,74677,193910
198411,W96-9,2,30306,75202
198411,W96-9,3,17211,49149
198411,W96-9,70,159,471
198411,W96-9,81,3864,9972
198411,W96-9,60,20,90
198412,W96-9,1,58440,153921
198412,W96-9,2,24939,62114
198412,W96-9,3,15195,39046
198412,W96-9,81,2938,7780
198412,W96-9,60,34,81
198501,W96-9,1,40539,106425
198501,W96-9,2,15169,41533
198501,W96-9,3,8672,26703
198501,W96-9,81,2324,8682
198501,W96-9,60,22,154
198502,W96-9,1,43738,107194
198502,W96-9,2,14464,36308
198502,W96-9,3,10034,27910
198502,W96-9,81,2607,8496
198502,W96-9,60,12,47
198503,W96-9,1,78382,196328
198503,W96-9,2,29445,75041
198503,W96-9,3,19592,48304
198503,W96-9,70,45,112
198503,W96-9,81,4981,16464
198503,W96-9,60,20,61
198504,W96-9,1,98191,268814
198504,W96-9,2,43476,115840
198504,W96-9,3,27505,72473
198504,W96-9,70,3216,8632
198504,W96-9,81,6140,18006
198504,W96-9,60,169,567
198505,W96-9,1,118006,303290
198505,W96-9,2,49803,126630
198505,W96-9,3,30453,82812
198505,W96-9,70,5695,17135
198505,W96-9,81,6781,19404
198505,W96-9,60,134,508
198506,W96-9,1,119999,312078
198506,W96-9,2,50218,127096
198506,W96-9,3,33438,86619
198506,W96-9,70,11987,29782
198506,W96-9,81,7562,19381
198506,W96-9,60,124,458
198507,W96-9,1,126604,326208
198507,W96-9,2,60249,157334
198507,W96-9,3,41429,110780
198507,W96-9,70,29303,75981
198507,W96-9,81,7094,17470
198507,W96-9,60,166,552
198508,W96-9,1,140040,353197
198508,W96-9,2,70755,184112
198508,W96-9,3,46541,124147
198508,W96-9,70,32809,87459
198508,W96-9,81,8299,21081
198508,W96-9,60,187,663
198509,W96-9,1,138043,353860
198509,W96-9,2,65496,171445
198509,W96-9,3,38567,109047
198509,W96-9,70,7769,20603
198509,W96-9,81,6671,20167
198509,W96-9,60,149,514
198510,W96-9,1,110758,291820
198510,W96-9,2,46931,121901
198510,W96-9,3,25551,69255
198510,W96-9,70,2388,8824
198510,W96-9,81,5949,18871
198510,W96-9,60,110,356
198511,W96-9,1,72383,184076
198511,W96-9,2,31337,73449
198511,W96-9,3,17589,44314
198511,W96-9,70,194,1637
198511,W96-9,81,4397,12716
198511,W96-9,60,36,89
198512,W96-9,1,61484,154947
198512,W96-9,2,28228,68967
198512,W96-9,3,11775,29993
198512,W96-9,70,231,835
198512,W96-9,81,3571,9705
198512,W96-9,60,32,141
198601,W96-9,1,43985,113690
198601,W96-9,2,17612,44836
198601,W96-9,3,10051,28528
